Unnamed: 0,method,number,orbital_period,mass,distance,year
0,Radial Velocity,1,269.3,7.1,77.4,2006
1,Radial Velocity,1,874.774,2.21,56.95,2008
2,Radial Velocity,1,763.0,2.6,19.84,2011
3,Radial Velocity,1,326.03,19.4,110.62,2007
4,Radial Velocity,1,516.22,10.5,119.47,2009
5,Radial Velocity,1,185.84,4.8,76.39,2008
6,Radial Velocity,1,1773.4,4.64,18.15,2002
8,Radial Velocity,1,993.3,10.3,73.1,2008
9,Radial Velocity,2,452.8,1.99,74.79,2010
10,Radial Velocity,2,883.0,0.86,74.79,2010
11,Radial Velocity,1,335.1,9.88,39.43,2009
12,Radial Velocity,1,479.1,3.88,97.28,2008
13,Radial Velocity,3,1078.0,2.53,14.08,1996
14,Radial Velocity,3,2391.0,0.54,14.08,2001
15,Radial Velocity,3,14002.0,1.64,14.08,2009
16,Radial Velocity,1,4.230785,0.472,15.36,1995
17,Radial Velocity,5,14.651,0.8,12.53,1996
18,Radial Velocity,5,44.38,0.165,12.53,2004
19,Radial Velocity,5,4909.0,3.53,12.53,2002
21,Radial Velocity,5,261.2,0.172,12.53,2007
22,Radial Velocity,3,4.215,0.016,8.52,2009
23,Radial Velocity,3,38.021,0.057,8.52,2009
24,Radial Velocity,3,123.01,0.072,8.52,2009
27,Radial Velocity,1,952.7,5.3,97.18,2008
28,Radial Velocity,1,181.4,3.2,45.52,2013
45,Radial Velocity,1,380.8,1.8,20.21,2010
46,Radial Velocity,1,3.2357,0.0036,1.35,2012
48,Radial Velocity,1,2502.0,1.55,3.22,2000
50,Radial Velocity,1,594.9,7.6,47.53,2006
51,Radial Velocity,1,428.5,8.78,38.52,2009
52,Radial Velocity,1,903.3,1.85,13.79,2003
55,Radial Velocity,1,136.75,2.8,62.66,2007
58,Radial Velocity,1,277.02,1.7,80.64,2013
61,Radial Velocity,1,39.845,1.04,17.43,1997
62,Radial Velocity,1,3.3135,3.9,15.6,1996
63,Radial Velocity,1,305.5,20.6,92.51,2013
64,Radial Velocity,4,4.617033,0.6876,13.47,1996
65,Radial Velocity,4,241.258,1.981,13.47,1999
66,Radial Velocity,4,1276.46,4.132,13.47,1999
67,Radial Velocity,4,3848.86,1.059,13.47,2010
76,Radial Velocity,1,655.6,5.1,37.54,2008
79,Radial Velocity,2,5.6,0.045,42.09,2009
80,Radial Velocity,2,237.6,0.33,42.09,2009
81,Radial Velocity,2,3.8728,0.027,20.1,2013
82,Radial Velocity,2,125.94,0.17,20.1,2013
83,Radial Velocity,1,268.94,1.47,50.03,2009
